signal_date,date,execution,traded_notional,equity_at_entry,SPY,IWM,EFA,EEM,VNQ,PDBC,IEF,TLT,TIP,SGOV,BIL
2015-11-30,2015-12-01,next-session open,1.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-12-31,2016-01-04,next-session open,0.0,0.9991366062743503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-29,2016-02-01,next-session open,0.0,1.0262482444606988,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-02-29,2016-03-01,next-session open,0.5,1.0435256154846722,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0
2016-03-31,2016-04-01,next-session open,1.5000000000000009,1.0414616639539873,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0
2016-04-29,2016-05-02,next-session open,0.5190936266499249,1.0410966801616273,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0
2016-05-31,2016-06-01,next-session open,0.005704709747140685,1.054317374287843,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0
2016-06-30,2016-07-01,next-session open,0.5077358202766074,1.1055039093853352,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
2016-07-29,2016-08-01,next-session open,0.9999999999999993,1.0907315665702797,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0
2016-08-31,2016-09-01,next-session open,0.016794590229251727,1.08615722641404,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0
2016-09-30,2016-10-03,next-session open,0.5138795745107438,1.0856874221710315,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-31,2016-11-01,next-session open,0.506641847608281,1.0538307900684467,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2016-11-30,2016-12-01,next-session open,0.04510951569104413,1.0845069677092858,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2016-12-30,2017-01-03,next-session open,0.009187835107132475,1.107857659766549,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2017-01-31,2017-02-01,next-session open,0.018811955630547633,1.1310212815692244,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2017-02-28,2017-03-01,next-session open,0.012673160869249078,1.1575676584815695,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2017-03-31,2017-04-03,next-session open,0.5030139103544213,1.151346244858212,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-28,2017-05-01,next-session open,0.005673916695154518,1.1719883758256362,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-31,2017-06-01,next-session open,0.017252768815673447,1.1882933977203594,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,2017-07-03,next-session open,2.0000000000000013,1.2015036721522043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-31,2017-08-01,next-session open,0.0,1.2020824481874173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-31,2017-09-01,next-session open,2.0,1.2010700436824353,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-29,2017-10-02,next-session open,1.9999999999999996,1.2267598226105787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-31,2017-11-01,next-session open,2.0,1.2252434724500814,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,2017-12-01,next-session open,0.015064860963756699,1.2328637417720893,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-29,2018-01-02,next-session open,0.5051973086946699,1.2625632860349223,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2018-01-31,2018-02-01,next-session open,0.5000000000000004,1.318659666952038,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
