date,traded_notional,SPY,IWM,EFA,EEM,VNQ,PDBC,IEF,TLT,TIP,BIL
2015-11-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-12-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-03-01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
2016-04-01,1.4999999999999998,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2016-05-02,0.5091480174055407,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2016-06-01,0.0059903584926533915,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2016-07-01,0.5060007814880763,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0
2016-08-01,1.0000000000000002,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2016-09-01,0.020568468531443423,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2016-10-03,0.5144154777237882,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2016-11-01,0.507613258144316,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2016-12-01,0.04343977616195946,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2017-01-03,0.00716975315853996,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2017-02-01,0.017740237870907366,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2017-03-01,0.01807417011453316,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2017-04-03,0.5076440711379329,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,0.006518251018382937,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,0.013743528354808437,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-01,2.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-02,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-01,2.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,0.017758479589335824,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,0.5063607407293605,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2018-02-01,0.5000000000000003,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-02,2.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2018-05-01,1.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-06-01,2.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2018-07-02,0.017880410466637853,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2018-08-01,0.015495144633715763,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2018-09-04,0.01171947789069605,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2018-10-01,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-01-02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2019-02-01,1.5,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0
2019-03-01,0.5064740481473058,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2019-04-01,0.011733323522950562,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2019-05-01,0.5059912841035485,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2019-06-03,0.9999999999999998,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.0
2019-07-01,1.0029071331897668,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0
