signal_date,date,execution,traded_notional,equity_at_entry,SPY,IWM,EFA,EEM,VNQ,DBC,IEF,TLT,TIP,SGOV,BIL
2008-05-30,2008-06-02,next-session open,1.0,0.9995,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2008-06-30,2008-07-01,next-session open,0.05048331097327896,0.9487752695585326,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2008-07-31,2008-08-01,next-session open,0.0021451251640423608,0.9515727386202745,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2008-08-29,2008-09-02,next-session open,0.0029702731809349014,0.9709511099381052,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2008-09-30,2008-10-01,next-session open,0.05869885026855309,0.9102171567402194,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2008-10-31,2008-11-03,next-session open,0.078963082559944,0.8180097455034018,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2008-11-28,2008-12-01,next-session open,0.08996007511869097,0.7995650869717649,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2008-12-31,2009-01-02,next-session open,0.0005678499867781683,0.8334385162810165,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2009-01-30,2009-02-02,next-session open,0.03135082473139039,0.771851077482867,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2009-02-27,2009-03-02,next-session open,0.05404457347573732,0.7185590013086719,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2009-03-31,2009-04-01,next-session open,0.027006337825348448,0.7664193139891181,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2009-04-30,2009-05-01,next-session open,0.06636464019242272,0.8086284198018284,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2009-05-29,2009-06-01,next-session open,0.046297493500299214,0.8340437468642458,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2009-06-30,2009-07-01,next-session open,0.004382021260024793,0.8298740782508938,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2009-07-31,2009-08-03,next-session open,0.034177396417121364,0.8725027607933521,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2009-08-31,2009-09-01,next-session open,0.004617766746974172,0.8874356856700166,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2009-09-30,2009-10-01,next-session open,0.0010210226823874624,0.9016123099648213,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2009-10-30,2009-11-02,next-session open,0.0073049467508986,0.9059853928866886,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2009-11-30,2009-12-01,next-session open,0.02219682839719167,0.9475249633648759,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2009-12-31,2010-01-04,next-session open,0.028238388018068106,0.94287793626469,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2010-01-29,2010-02-01,next-session open,0.028273346077253514,0.9293526438568055,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2010-02-26,2010-03-01,next-session open,0.010439965899745773,0.947314676511962,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2010-03-31,2010-04-01,next-session open,0.03574132518072376,0.9785105157217729,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2010-04-30,2010-05-03,next-session open,0.0007275766830390773,0.9922361207028164,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2010-05-28,2010-06-01,next-session open,0.06429124609775388,0.9515084936411767,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2010-06-30,2010-07-01,next-session open,0.03436105373053433,0.9369665804272478,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2010-07-30,2010-08-02,next-session open,0.036107060106787436,0.9875327155024738,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2010-08-31,2010-09-01,next-session open,0.038648461870583295,0.9724513929282208,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2010-09-30,2010-10-01,next-session open,0.03752997617980308,1.021357263905951,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2010-10-29,2010-11-01,next-session open,0.013945781811819824,1.0454393122771597,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2010-11-30,2010-12-01,next-session open,0.015255976364320967,1.0421041205052333,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2010-12-31,2011-01-03,next-session open,0.042461127440531765,1.066558960930966,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2011-01-31,2011-02-01,next-session open,0.008776659175941726,1.0817896607855522,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2011-02-28,2011-03-01,next-session open,0.016515427389335813,1.100971596033726,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2011-03-31,2011-04-01,next-session open,0.0012083238024532816,1.1033184158011768,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2011-04-29,2011-05-02,next-session open,0.003534033884022403,1.1302565159800828,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2011-05-31,2011-06-01,next-session open,0.023250077682208492,1.1310481415858198,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2011-06-30,2011-07-01,next-session open,0.002811417235943303,1.1188252967284094,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2011-07-29,2011-08-01,next-session open,0.018406156389967954,1.1254908047211376,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2011-08-31,2011-09-01,next-session open,0.05670748595113145,1.1040888435695366,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2011-09-30,2011-10-03,next-session open,0.04838944374241083,1.0637342987872485,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2011-10-31,2011-11-01,next-session open,0.04161060892402557,1.1152507078920766,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2011-11-30,2011-12-01,next-session open,0.01337662951423274,1.12843689225716,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2011-12-30,2012-01-03,next-session open,0.006766713861656892,1.1555418410586884,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2012-01-31,2012-02-01,next-session open,0.010650486071577092,1.1859815016013864,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2012-02-29,2012-03-01,next-session open,0.024087984314757893,1.2067479438764603,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2012-03-30,2012-04-02,next-session open,0.017099109501794385,1.2239789305364854,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2012-04-30,2012-05-01,next-session open,0.013486133925211696,1.2304007576035885,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2012-05-31,2012-06-01,next-session open,0.05353007633604073,1.192189530225074,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2012-06-29,2012-07-02,next-session open,0.031765674531789745,1.231224414489784,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2012-07-31,2012-08-01,next-session open,0.0033117680990652487,1.247806314210912,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2012-08-31,2012-09-04,next-session open,0.008409447134821169,1.26002217405275,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2012-09-28,2012-10-01,next-session open,0.014426811824686137,1.2825749430327196,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
2012-10-31,2012-11-01,next-session open,0.006862137047993266,1.2643301200776182,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
