date,traded_notional,SPY,IWM,EFA,EEM,VNQ,DBC,IEF,TLT,TIP,BIL
2008-05-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-06-02,2.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
2008-07-01,0.9886433374971336,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0
2008-08-01,0.050248366278107,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0
2008-09-02,0.5392001083624203,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0
2008-10-01,1.4773830157238383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2008-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2009-01-02,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
2009-02-02,0.47095243852990193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2009-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2009-04-01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
2009-05-01,0.5201743272743354,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.25,0.0,0.0
2009-06-01,0.9999999999999999,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0
2009-07-01,1.0149760630513724,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5
2009-08-03,0.9999999999999994,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,0.5233676963934772,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2009-10-01,0.019791338026984323,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2009-11-02,0.5000000000000004,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.011715708770921263,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2010-01-04,0.5026547703997759,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.015509868171444258,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2010-03-01,0.016560403056390505,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2010-04-01,0.01491143723587976,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2010-05-03,0.041273917484871775,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2010-06-01,1.0062698244247734,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2010-07-01,0.04302581365838323,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2010-08-02,0.5590824262363778,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0
2010-09-01,0.03517851818096321,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0
2010-10-01,0.5233337346107407,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2010-11-01,0.4999999999999992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2010-12-01,0.5202267134351752,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2011-01-03,0.5043842383885093,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0
2011-02-01,0.5030530306849876,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2011-03-01,0.015147694982982018,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2011-04-01,0.01183926970933527,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2011-05-02,0.5103203110331286,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2011-06-01,0.013128898011787904,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2011-07-01,0.5000000000000001,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2011-08-01,1.5000000000000004,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0
2011-09-01,0.05526523878401249,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0
2011-10-03,0.9723453418701643,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
2011-11-01,1.008584082973383,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2011-12-01,0.5086893130922651,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0
2012-01-03,0.5000000000000002,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2012-02-01,0.5224614619432858,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2012-03-01,0.5095292825683966,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2012-04-02,0.4999999999999999,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2012-05-01,1.0005825949584384,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2012-06-01,0.5179211582151457,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.0
2012-07-02,0.5205638869184339,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2012-08-01,0.00614606595833081,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2012-09-04,0.5080214804685492,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2012-10-01,0.5162467337911384,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2012-11-01,1.0075984471460715,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2012-12-03,0.5133658961476952,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02,0.5025138118633174,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.4999999999999998,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.01116000594241981,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.010033169101556577,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.027682206528184927,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2013-06-03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-02-03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-04-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-06-02,2.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2014-07-01,0.5000000000000002,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2014-08-01,0.9999999999999999,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2014-09-02,0.007968893047629932,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2014-10-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-03,2.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2014-12-01,0.5005765936242368,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2015-01-02,0.5102726610474619,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2015-02-02,0.5201219090571769,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2015-03-02,0.5314410883946402,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2015-04-01,0.5000000000000001,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2015-05-01,1.5000000000000007,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-07-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-08-03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-03-01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
2016-04-01,1.4999999999999998,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2016-05-02,0.5091481831247885,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2016-06-01,0.005990322198443282,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2016-07-01,0.506000795253842,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0
2016-08-01,1.0000000000000002,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2016-09-01,0.02056852651288485,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
2016-10-03,0.5144155719919079,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2016-11-01,0.5076132206342774,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2016-12-01,0.042647454539043284,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2017-01-03,0.009511704722274028,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2017-02-01,0.016954337972448524,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2017-03-01,0.018113248134300874,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2017-04-03,0.50722983197749,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,0.006518339445809929,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,0.013743502324164242,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-01,2.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-01,2.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,0.017758538233535598,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,0.5063607309511113,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2018-02-01,0.5000000000000002,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-02,2.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
