Effective Month,Signal Month,From,To,Regime,Month Return,SPY Return
2026-07,2026-06,XLE,XLK,goldilocks,-0.079624,0.000348
2026-05,2026-04,XLU,XLE,reflation,-0.056329,0.052626
2026-04,2026-03,XLE,XLU,stagflation,0.020920,0.105053
2026-01,2025-12,XLK,XLE,reflation,0.141803,0.014738
2025-11,2025-10,XLE,XLK,goldilocks,-0.048091,0.001950
2025-07,2025-06,XLK,XLE,reflation,0.028299,0.023031
2025-06,2025-05,XLP/IEF,XLK,goldilocks,0.098478,0.051386
2025-05,2025-04,XLU,XLP/IEF,slowdown,-0.000088,0.062845
2025-04,2025-03,XLE,XLU,stagflation,0.000634,-0.008670
2024-11,2024-10,XLK,XLE,reflation,0.078338,0.059633
2024-06,2024-05,XLE,XLK,goldilocks,0.078354,0.035280
2024-03,2024-02,XLK,XLE,reflation,0.104864,0.032702
2023-12,2023-11,XLU,XLK,goldilocks,0.041827,0.045655
2023-11,2023-10,XLE,XLU,stagflation,0.051432,0.091344
2023-07,2023-06,XLK,XLE,reflation,0.077738,0.032733
2023-05,2023-04,XLE,XLK,goldilocks,0.089173,0.004616
2023-03,2023-02,XLK,XLE,reflation,0.000053,0.037078
2023-02,2023-01,XLU,XLK,goldilocks,0.004119,-0.025143
2023-01,2022-12,XLE,XLU,stagflation,-0.020000,0.062887
2022-12,2022-11,XLU,XLE,reflation,-0.030489,-0.057628
2022-10,2022-09,XLP/IEF,XLU,stagflation,0.019386,0.081276
2022-08,2022-07,XLU,XLP/IEF,slowdown,-0.028532,-0.040802
2022-05,2022-04,XLE,XLU,stagflation,0.043081,0.002257
2022-04,2022-03,XLU,XLE,reflation,-0.016876,-0.087769
2022-03,2022-02,XLE,XLU,stagflation,0.103452,0.037591
2021-10,2021-09,XLK,XLE,reflation,0.103283,0.070164
2021-08,2021-07,XLE,XLK,goldilocks,0.035593,0.029760
2021-02,2021-01,XLK,XLE,reflation,0.224568,0.027805
2020-06,2020-05,XLP/IEF,XLK,goldilocks,0.069491,0.017734
2020-03,2020-02,XLK,XLP/IEF,slowdown,-0.009047,-0.124871
2019-07,2019-06,XLP/IEF,XLK,goldilocks,0.034982,0.015120
2019-06,2019-05,XLK,XLP/IEF,slowdown,0.032183,0.069586
2019-03,2019-02,XLP/IEF,XLK,goldilocks,0.047687,0.018101
2019-01,2018-12,XLK,XLP/IEF,slowdown,0.028962,0.080066
2018-12,2018-11,XLP/IEF,XLK,goldilocks,-0.083765,-0.088048
2018-11,2018-10,XLK,XLP/IEF,slowdown,0.018012,0.018549
2018-08,2018-07,XLE,XLK,goldilocks,0.065990,0.031920
2018-05,2018-04,XLK,XLE,reflation,0.029942,0.024309
2018-04,2018-03,XLE,XLK,goldilocks,0.000612,0.005168
2018-03,2018-02,XLK,XLE,reflation,0.017230,-0.027410
2016-04,2016-03,XLP/IEF,XLK,goldilocks,-0.050271,0.003941
2016-01,2015-12,XLK,XLP/IEF,slowdown,0.019342,-0.049786
2015-11,2015-10,XLP/IEF,XLK,goldilocks,0.007102,0.003655
2015-09,2015-08,XLK,XLP/IEF,slowdown,0.009845,-0.025516
2013-05,2013-04,XLE,XLK,goldilocks,0.027922,0.023610
2012-10,2012-09,XLK,XLE,reflation,-0.020291,-0.018198
2012-06,2012-05,XLE,XLK,goldilocks,0.032637,0.040581
2012-04,2012-03,XLK,XLE,reflation,-0.007108,-0.006676
2012-01,2011-12,XLP/IEF,XLK,goldilocks,0.062083,0.046375
2011-09,2011-08,XLE,XLP/IEF,slowdown,-0.005293,-0.069421
