Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year P&L,SPY Year P&L
2002,,,,,,,,0.017890,-0.017659,0.011074,-0.022677,0.018569,0.006409,-0.013129
2003,-0.017171,-0.004187,-0.010418,0.021661,0.090751,-0.005294,0.039030,0.061468,-0.012332,0.073833,0.010090,0.136027,0.441007,0.278133
2004,0.015462,0.057720,-0.011889,0.018374,0.003341,0.056472,0.028480,-0.015384,0.099680,0.008559,0.057992,-0.031253,0.318793,0.108716
2005,0.045983,0.158634,-0.004009,-0.067695,0.035317,-0.008912,0.073290,0.072773,0.056617,-0.101572,0.028624,0.016267,0.319351,0.048025
2006,0.135492,-0.082623,0.041188,0.051141,-0.044309,0.041111,0.026117,0.080054,0.031643,0.047836,0.017391,-0.028018,0.343840,0.157285
2007,-0.003601,-0.030637,0.073467,0.052772,0.081967,0.009771,-0.006367,0.013543,0.042833,0.052632,-0.036561,0.099833,0.396979,0.049097
2008,-0.064045,-0.002470,0.023602,0.048366,0.031172,-0.017925,-0.048871,0.024725,-0.009748,-0.059865,0.023543,0.033272,-0.026347,-0.367933
2009,-0.061196,-0.043467,0.039474,0.009513,0.014632,0.028203,0.088380,-0.000501,0.045488,-0.006741,0.062530,0.059448,0.250123,0.271244
2010,-0.048776,0.034103,0.065768,0.012954,-0.133824,0.002100,0.037078,0.007158,0.025516,0.054596,-0.006947,0.048200,0.083852,0.149750
2011,0.031521,0.016425,0.020761,0.002486,-0.046249,-0.022084,0.015935,-0.117207,-0.009684,0.014752,0.020865,0.023712,-0.057466,0.029441
2012,0.053835,0.066324,0.039410,-0.003653,-0.126506,0.052567,0.022214,0.034295,0.020284,-0.031805,-0.000838,0.024046,0.143393,0.160987
2013,0.065936,-0.004887,0.029535,-0.021561,0.029529,-0.022851,0.036340,-0.012837,0.022049,0.053633,0.027523,0.030979,0.254503,0.293468
2014,-0.024705,0.033391,0.018849,0.000549,0.039517,0.020788,0.010653,0.037789,-0.010622,0.020618,0.044346,-0.013295,0.189829,0.143672
2015,-0.037732,0.079920,-0.036777,0.032787,0.018207,-0.038103,0.018913,-0.074718,0.018822,0.023350,0.008366,-0.042336,-0.038930,-0.008493
2016,0.020773,0.014198,0.017697,-0.042502,0.043107,-0.009734,0.070277,0.011410,0.018457,-0.002728,-0.001683,0.030455,0.178598,0.146554
2017,0.038422,0.042145,0.017002,0.022864,0.037926,-0.026101,0.045496,0.026632,0.008167,0.067511,0.003162,0.015751,0.339437,0.213327
2018,0.062140,0.001906,0.013356,0.002220,0.037632,-0.004728,0.013791,0.052425,0.010858,-0.084554,0.017479,-0.125322,-0.019255,-0.064172
2019,0.033727,0.006312,0.048536,0.063972,-0.094340,0.032221,0.012515,-0.025213,0.028807,0.037829,0.050625,0.052174,0.263853,0.340217
2020,0.031784,-0.057418,-0.022324,0.045807,0.011170,0.074180,0.070486,0.113732,-0.048756,-0.055866,0.114493,0.052083,0.356032,0.181674
2021,-0.001683,0.240467,0.007747,0.013799,0.065652,0.045513,-0.103086,0.033491,-0.058255,0.105050,-0.037388,0.007691,0.319026,0.286001
2022,0.179021,0.086678,0.103736,-0.022592,0.040858,-0.047532,0.045823,-0.035099,-0.051671,0.008003,0.073683,-0.044260,0.356382,-0.179916
2023,-0.028412,0.004294,0.040278,-0.026182,0.085503,0.063716,0.069717,0.031792,0.011525,-0.050293,0.049477,0.029286,0.307263,0.247070
2024,0.045349,0.045548,0.099121,-0.013729,-0.005354,0.070692,-0.036942,-0.000917,0.034378,-0.011595,0.062529,-0.088121,0.202616,0.264296
2025,0.014706,0.042451,0.031519,0.006480,-0.001195,0.096767,0.021817,0.037638,-0.005451,-0.008437,-0.067214,0.029148,0.207533,0.177086
2026,0.119184,0.153094,0.040509,0.022131,-0.035337,-0.063079,-0.069550,0.055686,,,,,0.218498,0.117177
